Trial_ID,Well_ID,Animal_ID,NumBout,BoutStart,BoutEnd,Condition,Genotype,videoDuration,Bout Duration (s),Bout Distance (mm),Bout Speed (mm/s),Angular Velocity (deg/s),Max TBF (Hz),Mean TBF (Hz),medianOfInstantaneousTBF,Mean TBF (Hz) (based on first 4 bends),Mean TBF (Hz) (based on first 6 bends),Max absolute TBA (deg.),maxBendAmplitudeSigned,Mean absolute TBA (deg.),Median absolute TBA (deg.),medianBendAmplitudeSigned,Number of Oscillations,meanTBF,maxTailAngleAmplitude,Absolute Yaw (deg),Signed Yaw (deg),TBA#1 timing (s),TBA#1 Amplitude (deg),firstBendAmplitudeSigned,IBI (s),xmean,ymean,binaryClass25degMaxTailAngle,tailAngleIntegralSigned,BoutFrameNumberStart,tailAngleSymmetry,secondBendAmpDividedByFirst,tailAngleIntegral,maxInstantaneousSpeed
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,46,5884,5952,es,o,59.99,0.69,340.9605963,501.4126416,0.349351976,2.631578947,2.631578947,2.631578947,2.631578947,2.631578947,47.4998733,47.4998733,47.4998733,47.4998733,47.4998733,0.5,0.724637681,47.4998733,0.004121813,-0.004121813,0.19,47.4998733,47.4998733,0.81,541.4275309,42814.03616,1,354.5609032,5884,0.389746709,,740.4695949,24830.99802
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,45,5757,5803,es,o,59.99,0.47,365.9400985,795.5219532,0.605173948,,,,,,,,,,,0.0,0.0,18.08026334,0.339339688,-0.339339688,,,,0.64,541.7158959,42810.6659,0,78.81582067,5757,0.868608794,,331.9803339,12243.41656
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,20,2578,2637,es,o,59.99,0.6,442.4808754,749.9675854,0.524397811,2.777777778,2.124183007,2.124183007,2.124183007,2.124183007,16.52403994,16.52403994,12.09725926,12.09725926,12.09725926,1.0,1.666666667,48.33408787,1.091132794,1.091132794,0.34,16.52403994,16.52403994,0.33,542.0673791,42816.62436,1,336.4102002,2578,0.268214206,0.464201164,654.4293511,14747.08303
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,19,2506,2545,es,o,59.99,0.4,435.5474437,1116.788317,0.792276491,4.166666667,3.273809524,3.273809524,3.273809524,3.273809524,7.2219888,-7.2219888,5.542425333,5.542425333,-5.542425333,1.0,2.5,9.999841144,0.383225232,0.383225232,0.21,7.2219888,-7.2219888,0.65,541.6073131,42803.89495,0,5.535693368,2506,0.870573597,0.534875084,203.4323826,18151.54834
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,18,2378,2441,es,o,59.99,0.64,400.1124962,635.0992004,0.452623757,16.66666667,9.452421171,9.895833333,9.452421171,9.452421171,6.756836329,-6.756836329,5.603756067,5.487437559,-0.037256201,2.0,3.125,10.00261909,1.553067571,1.553067571,0.37,6.217049897,6.217049897,0.48,542.4461539,42811.60003,0,-59.84582636,2378,0.917406412,-0.765286639,311.5339188,7120.260131
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,17,2265,2330,es,o,59.99,0.66,425.2578908,654.242909,0.482937396,16.66666667,6.851851852,2.5,6.851851852,6.851851852,8.454336574,8.454336574,6.675747715,6.386996163,5.185910409,1.5,2.272727273,12.03784381,0.22449328,0.22449328,0.36,8.454336574,8.454336574,0.69,542.5650242,42815.32949,0,-60.77132478,2265,0.705872068,-0.755469824,368.2151752,18092.45894
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,16,2156,2196,es,o,59.99,0.41,280.2733707,700.6834267,0.509249593,,,,,,,,,,,0.0,0.0,11.99847277,0.25702678,0.25702678,,,,0.51,542.3761674,42811.85591,0,-40.63558473,2156,0.805537555,,229.3430882,8803.357079
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,15,2060,2105,es,o,59.99,0.46,96.06498079,213.4777351,0.153229006,,,,,,,,,,,0.0,0.0,12.61857098,0.582824966,0.582824966,,,,1.11,542.7098656,42819.36703,0,-57.2357885,2060,0.647407973,,233.1583786,5475.573531
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,14,1889,1949,es,o,59.99,0.61,387.2095782,645.349297,0.438617991,2.941176471,2.941176471,2.941176471,2.941176471,2.941176471,34.70774674,34.70774674,34.70774674,34.70774674,34.70774674,0.5,0.819672131,34.70774674,0.256675522,0.256675522,0.17,34.70774674,34.70774674,0.75,540.6861619,42808.5022,1,184.9912356,1889,0.415036602,,544.1893029,17798.16139
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,13,1759,1814,es,o,59.99,0.56,337.2693716,613.2170392,0.437711874,2.941176471,2.332657201,2.332657201,2.332657201,2.332657201,7.474525307,7.474525307,7.010679218,7.010679218,7.010679218,1.0,1.785714286,11.83285236,0.190193796,0.190193796,0.29,6.546833128,6.546833128,0.64,542.4710717,42811.64073,0,13.30647988,1759,0.955402742,1.141700905,310.5759821,14791.66361
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,12,1645,1695,es,o,59.99,0.51,366.2064213,732.4128427,0.554945341,8.333333333,6.093189964,8.333333333,6.093189964,6.093189964,9.611620899,9.611620899,7.089443272,6.407561642,6.407561642,1.5,2.941176471,12.4297257,0.301527294,0.301527294,0.31,9.611620899,9.611620899,0.8,541.9722083,42808.14513,0,11.07264112,1645,0.838903767,0.546125084,277.6334266,21356.23459
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,11,1524,1565,es,o,59.99,0.42,330.3622768,805.7616507,0.575496537,,,,,,,,,,,0.0,0.0,12.99671431,0.212230849,0.212230849,,,,0.53,541.4759498,42811.64157,0,-36.92801752,1524,0.917312476,,261.613444,16755.50425
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,10,1397,1471,es,o,59.99,0.75,338.5446326,457.4927467,0.338720901,16.66666667,7.972222222,5.555555556,6.402777778,7.972222222,10.15887285,-10.15887285,7.930920012,7.791125113,-1.556105264,3.0,4.0,10.32251755,0.275645149,0.275645149,0.25,5.538272116,5.538272116,0.65,542.4922631,42814.32764,0,-123.6083795,1397,0.671519089,-1.834303667,378.004035,14647.05681
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,9,1243,1332,es,o,59.99,0.9,439.8549733,494.2190712,0.350921461,16.66666667,8.844627595,8.333333333,8.653846154,8.844627595,9.071395738,-9.071395738,6.947284374,6.93750449,5.379755922,3.0,3.333333333,12.23604148,1.543275122,1.543275122,0.39,7.977789686,7.977789686,0.62,541.2646641,42819.31387,0,-32.83806793,1243,0.87627511,0.615463753,517.4631885,6467.640079
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,8,1146,1181,es,o,59.99,0.36,239.8432314,685.2663755,0.470739883,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,7.068750656,7.068750656,7.068750656,7.068750656,7.068750656,0.5,1.388888889,11.91553355,0.169759241,-0.169759241,0.27,7.068750656,7.068750656,0.51,540.5611551,42817.89391,0,-23.00117576,1146,0.640807843,,189.0161218,11517.1744
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,7,1058,1095,es,o,59.99,0.38,176.5135506,477.0636503,0.324653581,,,,,,,,,,,0.0,0.0,11.76931436,0.526827642,-0.526827642,,,,1.05,539.3844922,42818.36336,0,-34.95202053,1058,0.676672378,,180.7849048,5804.743958
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,6,849,953,es,o,59.99,1.05,501.2192394,481.9415763,0.322602512,16.66666667,8.437455655,5.555555556,3.845386335,8.119146445,9.369719152,-9.369719152,7.978509898,8.076700411,6.530936111,4.5,4.285714286,10.59240105,0.164331296,-0.164331296,0.29,6.530936111,6.530936111,1.58,542.1943205,42819.72416,0,13.53034489,849,0.923786885,-1.394216099,570.8390858,5378.929681
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,5,642,691,es,o,59.99,0.5,416.6502618,850.3066567,0.613333302,16.66666667,9.087301587,8.333333333,7.192460317,9.087301587,58.82781609,58.82781609,20.02907717,12.5299593,12.5299593,2.5,5.0,58.82781609,0.372705094,-0.372705094,0.06,58.82781609,58.82781609,0.4,540.935295,42815.30794,1,381.9893548,642,0.413243691,-0.159096461,654.8768587,24586.71217
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,4,526,602,es,o,59.99,0.77,576.957811,759.1550144,0.551411517,12.5,5.666666667,5.555555556,3.958333333,5.666666667,9.200781163,-9.200781163,6.532861082,6.81435277,3.507738289,2.5,3.246753247,10.86826142,0.370243977,0.370243977,0.36,8.200094725,8.200094725,0.72,542.0030561,42808.87625,0,-65.59464604,526,0.776573743,-1.122033522,412.9630703,18182.70616
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,3,377,454,es,o,59.99,0.78,471.0130223,611.7052238,0.446944681,16.66666667,8.208061002,5.555555556,7.312091503,8.208061002,9.789044654,-9.789044654,6.994740932,5.851679683,-0.279906158,3.0,3.846153846,11.09250837,0.402630873,0.402630873,0.34,5.310440146,5.310440146,0.54,542.5951763,42814.02331,0,-124.4859615,377,0.644229188,-1.843358438,435.0890391,15756.51422
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,2,281,323,es,o,59.99,0.43,217.1028489,516.911545,0.393804909,1.315789474,1.315789474,1.315789474,1.315789474,1.315789474,6.95479465,-6.95479465,6.95479465,6.95479465,-6.95479465,0.5,1.162790698,11.80444795,0.162221397,0.162221397,0.38,6.95479465,-6.95479465,0.73,542.5665738,42811.69042,0,-9.221487655,281,0.72959221,,230.2125376,8109.565484
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,21,2788,2839,es,o,59.99,0.52,350.9901761,688.2160315,0.485528775,1.041666667,1.041666667,1.041666667,1.041666667,1.041666667,2.943514011,-2.943514011,2.943514011,2.943514011,-2.943514011,0.5,0.961538462,11.46213715,0.001354983,0.001354983,0.48,2.943514011,-2.943514011,1.51,542.015229,42813.1515,0,11.58613635,2788,0.943549483,,281.6824444,5664.179932
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,22,2892,2941,es,o,59.99,0.5,317.9143034,648.8047009,0.476202153,,,,,,,,,,,0.0,0.0,9.866203644,0.116056747,-0.116056747,,,,0.53,542.3807183,42813.50692,0,-7.727012685,2892,0.987664036,,264.7201735,6882.399251
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,23,2993,3097,es,o,59.99,1.05,630.1974568,605.9590931,0.441154364,16.66666667,10.36375661,12.5,5.909391534,8.800705467,8.714407137,8.714407137,5.620398835,6.091148925,0.358806318,5.0,4.761904762,12.2524471,0.193444695,0.193444695,0.28,8.714407137,8.714407137,0.52,542.2581948,42806.83979,0,-93.14146743,2993,0.711238095,-0.279495109,502.0325728,11146.28469
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,24,3147,3181,es,o,59.99,0.35,276.3120743,812.6825715,0.623659893,,,,,,,,,,,0.0,0.0,11.70043352,0.197456464,0.197456464,,,,0.5,542.9118085,42812.82689,0,-11.31903235,3147,0.929816638,,190.5412687,14772.84922
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,44,5642,5693,es,o,59.99,0.52,158.2239622,310.2430631,0.212857367,,,,,,,,,,,0.0,0.0,17.33792404,0.030059915,-0.030059915,,,,0.67,541.295109,42816.16099,0,72.06088864,5642,0.706741014,,428.7801476,8344.470947
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,43,5520,5575,es,o,59.99,0.56,260.2587172,473.1976677,0.334207921,16.66666667,10.01984127,10.41666667,7.738095238,10.01984127,6.758803345,6.758803345,5.218592876,4.925773872,4.903453049,3.0,5.357142857,11.65779126,0.101399805,-0.101399805,0.28,6.758803345,6.758803345,0.85,542.3138861,42812.71978,0,33.51416892,5520,0.951166296,0.81096561,279.0522448,5201.896803
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,42,5374,5435,es,o,59.99,0.62,300.3016604,492.297804,0.347751352,1.923076923,1.923076923,1.923076923,1.923076923,1.923076923,9.76172369,9.76172369,9.76172369,9.76172369,9.76172369,0.5,0.806451613,17.32490811,0.092417447,0.092417447,0.26,9.76172369,9.76172369,0.71,541.3798709,42818.54952,0,43.04606087,5374,0.82831623,,448.8202732,7588.564732
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,41,5267,5303,es,o,59.99,0.37,143.7397309,399.2770303,0.272291679,1.5625,1.5625,1.5625,1.5625,1.5625,3.677788168,-3.677788168,3.677788168,3.677788168,-3.677788168,0.5,1.351351351,12.33621695,0.203567761,-0.203567761,0.32,3.677788168,-3.677788168,0.99,541.8625134,42807.72697,0,15.50849428,5267,0.865292526,,204.6356366,8551.104623
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,40,5112,5168,es,o,59.99,0.57,234.593727,418.9173696,0.296027945,0.943396226,0.943396226,0.943396226,0.943396226,0.943396226,9.445997051,9.445997051,9.445997051,9.445997051,9.445997051,0.5,0.877192982,34.70587785,0.081375047,0.081375047,0.53,9.445997051,9.445997051,0.7,540.485284,42817.26302,1,56.88734437,5112,0.523949979,,539.4437614,8340.427332
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,39,5001,5042,es,o,59.99,0.42,95.66910954,233.3392916,0.143020459,,,,,,,,,,,0.0,0.0,13.09110188,0.052301544,0.052301544,,,,0.5,541.6308599,42819.73425,0,-7.992880572,5001,0.990805344,,265.5828406,9566.365154
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,38,4905,4951,es,o,59.99,0.47,248.1234061,539.3987089,0.405203467,16.66666667,9.027777778,9.027777778,9.027777778,9.027777778,5.707762725,5.707762725,4.581467435,4.581467435,1.12629529,1.0,2.127659574,13.19402549,0.052468294,-0.052468294,0.36,5.707762725,5.707762725,0.94,541.4326476,42817.62305,0,43.32022206,4905,0.845031949,-0.605346142,253.3037218,6785.24542
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,37,4759,4811,es,o,59.99,0.53,160.830625,309.2896634,0.20071533,,,,,,,,,,,0.0,0.0,29.56692172,0.009273015,0.009273015,,,,0.38,539.9023171,42819.17275,1,287.1769364,4759,0.358392546,,497.5026506,7826.955624
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,36,4660,4721,es,o,59.99,0.62,91.69307332,150.3165136,0.06954959,16.66666667,11.89922481,12.5,10.70736434,11.89922481,4.995585235,4.995585235,4.024594242,4.343195261,2.794401327,2.5,4.032258065,15.36408751,0.135695842,0.135695842,0.43,4.995585235,4.995585235,1.04,539.4966211,42821.62186,0,28.33298635,4660,0.665215045,-0.680380833,332.8833493,6615.23959
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,35,4499,4556,es,o,59.99,0.58,130.1964025,228.4147412,0.128100721,2.941176471,2.16503268,2.16503268,2.16503268,2.16503268,38.91190765,38.91190765,22.12825686,22.12825686,16.78365079,1.0,1.724137931,38.91190765,0.005211268,-0.005211268,0.17,38.91190765,38.91190765,0.53,538.8988112,42827.06187,1,242.4080862,4499,0.378191326,-0.137351428,548.0513688,3166.801029
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,33,4302,4347,es,o,59.99,0.46,61.14098479,135.8688551,0.078854833,,,,,,,,,,,0.0,0.0,8.654759757,1.344393116,1.344393116,,,,0.91,538.635944,42824.24908,0,4.975025134,4302,0.960309092,,198.5916254,1867.883611
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,32,4159,4211,es,o,59.99,0.53,110.6651184,212.8175354,0.109297927,,,,,,,,,,,0.0,0.0,19.75670124,0.130038882,0.130038882,,,,0.71,538.3811209,42823.9994,0,147.0331202,4159,0.635469863,,412.7143048,3366.875103
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,31,4009,4088,es,o,59.99,0.8,364.6553335,461.5890297,0.321027428,16.66666667,6.171183889,2.922077922,6.171183889,6.171183889,9.06178552,-9.06178552,7.773249996,7.905938759,-0.897647835,2.0,2.5,13.45997607,0.073698635,-0.073698635,0.22,6.219336946,6.219336946,0.94,541.679549,42813.70545,0,15.33664171,4009,0.687904874,-1.288663516,416.3216758,7658.267912
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,30,3867,3915,es,o,59.99,0.49,207.6161347,432.5336139,0.293748219,1.086956522,1.086956522,1.086956522,1.086956522,1.086956522,10.05709494,10.05709494,10.05709494,10.05709494,10.05709494,0.5,1.020408163,41.70764704,1.195438598,-1.195438598,0.46,10.05709494,10.05709494,0.55,541.9827936,42822.45322,1,286.8956865,3867,0.354872437,,503.9602572,6477.33693
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,29,3754,3812,es,o,59.99,0.59,425.2988962,733.273959,0.513662625,8.333333333,5.994152047,8.333333333,5.994152047,5.994152047,18.09023315,18.09023315,14.54952356,16.34665774,16.34665774,1.5,2.542372881,39.71362997,0.316088621,-0.316088621,0.38,18.09023315,18.09023315,0.79,540.8499221,42818.34105,1,275.0779437,3754,0.411068923,0.903617859,629.2863188,14861.5621
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,28,3634,3675,es,o,59.99,0.42,271.7401266,662.7807965,0.49036839,,,,,,,,,,,0.0,0.0,11.6975925,0.116053784,0.116053784,,,,0.42,542.9283173,42816.05218,0,-17.4513429,3634,0.903088233,,278.6918773,12456.80256
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,27,3543,3592,es,o,59.99,0.5,202.0170133,412.279619,0.30140978,16.66666667,9.126984127,9.027777778,9.126984127,9.126984127,9.436644407,-9.436644407,5.964129977,5.536695012,0.346529472,2.0,4.0,13.44236718,0.249811997,0.249811997,0.28,9.436644407,-9.436644407,0.74,542.641287,42813.47541,0,-30.38780584,3543,0.87137551,-0.745375719,280.0595643,7227.41778
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,26,3384,3469,es,o,59.99,0.86,361.7259988,425.5599986,0.309894562,16.66666667,12.72486772,16.66666667,11.75595238,12.6984127,6.86000068,-6.86000068,5.365214187,5.361160955,-4.174359653,4.5,5.23255814,11.53231775,0.135846051,-0.135846051,0.42,6.86000068,-6.86000068,0.88,542.2876037,42811.85227,0,29.01815363,3384,0.87881504,-0.899533275,432.2553118,5122.177511
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,25,3242,3296,es,o,59.99,0.55,399.2733104,739.3950193,0.548145871,4.166666667,4.166666667,4.166666667,4.166666667,4.166666667,43.91744617,43.91744617,43.91744617,43.91744617,43.91744617,0.5,0.909090909,43.91744617,0.342785005,-0.342785005,0.12,43.91744617,43.91744617,0.61,541.3856957,42815.29585,1,340.8079808,3242,0.286146184,,539.0249849,16502.28956
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,34,4403,4446,es,o,59.99,0.44,49.9646301,116.1968142,0.060628281,,,,,,,,,,,0.0,0.0,9.95917571,0.073991509,0.073991509,,,,0.56,539.4679981,42826.16101,0,-10.41390891,4403,0.81362229,,201.0486223,1062.738073
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,1,150,208,es,o,59.99,0.59,335.5836608,578.5925186,0.434206016,6.25,3.835470085,3.333333333,3.835470085,3.835470085,10.30484612,10.30484612,8.176818043,7.306825744,7.306825744,1.5,2.542372881,10.30484612,0.178374063,0.178374063,0.26,10.30484612,10.30484612,1.05,542.1946098,42813.87913,0,-12.62707238,150,0.901059084,-0.671410536,319.0090235,13310.61429
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,0,1,45,es,o,59.99,0.45,340.0587096,772.8607037,0.547183968,16.66666667,8.213601533,6.25,8.213601533,8.213601533,8.589212042,8.589212042,4.568647722,3.197051396,1.919679727,1.5,3.333333333,10.45123489,3.339336101,-3.339336101,0.29,8.589212042,8.589212042,0.01,538.8104799,42817.29376,0,8.719188074,1,0.8962833,0.223498933,237.6075828,10399.13724
